round,accuracy
0,"(0.7789301310043668, array([[1596,   32,   19,   28,   40,    8,   34,   99,   35,   29],
       [  23, 1844,   30,   30,   33,   24,   25,   49,   30,   45],
       [  33,   37, 1398,   15,   47,   16,   39,  208,   38,   34],
       [  52,  100,   47, 1503,   42,   23,   55,  404,   62,   96],
       [  23,   39,   28,   18, 1492,   14,   35,   57,   24,   69],
       [  46,  124,   37,   23,   42, 1135,   68,  391,   55,  157],
       [  27,   34,   20,   15,   33,   14, 1586,   65,   27,   35],
       [  37,   47,   33,   33,   39,   17,   38, 2097,   27,   44],
       [  34,   49,   26,   16,   34,   16,   44,  102, 1426,   46],
       [  24,   36,   31,   18,   27,   10,   35,   85,   26, 1620]]))"
1,"(0.7369988090512108, array([[1470,   37,   33,   29,   64,    6,   66,  142,   29,   44],
       [  25, 1831,   29,   25,   48,   18,   30,   67,   24,   36],
       [  34,   46, 1301,   16,  120,   14,   56,  179,   46,   53],
       [  70,  109,   84, 1392,  142,   26,   60,  349,   52,  100],
       [  24,   41,   26,   13, 1448,   12,   43,  106,   26,   60],
       [  90,  132,   47,   24,  127,  936,   82,  475,   56,  109],
       [  27,   38,   20,   13,   49,   14, 1554,   68,   34,   39],
       [  35,   54,   38,   31,   53,   13,   35, 2074,   27,   52],
       [  42,   61,   28,   20,   65,    9,   39,  164, 1316,   49],
       [  25,   41,   29,   18,   49,    9,   41,  139,   31, 1530]]))"
2,"(0.7013199682413657, array([[1406,   54,   39,   20,   48,    8,   92,  178,   27,   48],
       [  19, 1838,   24,   10,   41,   15,   31,   88,   20,   47],
       [  33,   64, 1281,   13,   85,   22,   55,  211,   24,   77],
       [  81,  147,   81, 1100,  167,   49,  117,  428,   37,  177],
       [  24,   59,   36,   14, 1321,   13,   50,  146,   18,  118],
       [  64,  169,   49,   19,   74, 1037,   65,  453,   40,  108],
       [  29,   43,   21,    5,   42,   13, 1521,  112,   24,   46],
       [  30,   61,   43,   27,   50,   16,   38, 2070,   20,   57],
       [  46,   87,   38,   12,   80,   13,   59,  337, 1046,   75],
       [  25,   48,   30,   15,   34,   13,   45,  168,   21, 1513]]))"
3,"(0.6894601032155617, array([[1371,   53,   42,   19,   77,   15,   92,  155,   43,   53],
       [  28, 1794,   23,   12,   47,   24,   29,   88,   47,   41],
       [  55,   63, 1180,   17,   79,   20,   67,  246,   37,  101],
       [ 134,  130,  106,  978,  167,   56,  125,  414,   76,  198],
       [  40,   45,   28,   12, 1400,   12,   50,   97,   30,   85],
       [ 126,  136,   73,   17,   86, 1049,  144,  237,   81,  129],
       [  40,   39,   25,    7,   47,   22, 1523,   82,   34,   37],
       [  31,   55,   38,   21,   64,   20,   39, 2060,   31,   53],
       [  54,   65,   45,   14,   58,   23,   64,  280, 1113,   77],
       [  35,   49,   27,   12,   58,   19,   65,  173,   48, 1426]]))"
4,"(0.6912961492655816, array([[1508,   54,   28,   19,   56,   14,   36,  108,   69,   28],
       [  28, 1809,   21,   22,   44,   21,   28,   73,   40,   47],
       [  78,  104, 1143,   30,  107,   18,   61,  192,   33,   99],
       [ 130,  128,   96,  973,  120,   39,   97,  520,   55,  226],
       [  40,   61,   23,   14, 1360,   12,   45,  113,   38,   93],
       [ 144,  162,   73,   19,   95,  922,  152,  266,   64,  181],
       [  45,   49,   21,   11,   44,   12, 1484,   88,   51,   51],
       [  42,   70,   36,   25,   54,   18,   36, 2032,   31,   68],
       [  44,   83,   38,   16,   70,   22,   48,  171, 1229,   72],
       [  40,   55,   28,   15,   51,   20,   57,  138,   37, 1471]]))"
5,"(0.690204446208813, array([[1418,   80,   35,   38,   37,   12,   61,  144,   40,   55],
       [  23, 1817,   33,   24,   38,   21,   35,   63,   28,   51],
       [  64,   78, 1275,   19,   68,   33,   64,  167,   29,   68],
       [ 105,  146,  100, 1103,   97,   37,  141,  344,   66,  245],
       [  38,   93,   25,   18, 1292,   14,   80,   88,   30,  121],
       [  94,  173,   74,   31,   90,  906,  232,  240,   47,  191],
       [  47,   45,   31,   10,   41,   11, 1497,   84,   42,   48],
       [  39,   87,   42,   27,   62,   19,   40, 1989,   29,   78],
       [  56,   83,   74,   35,   77,   20,   70,  191, 1085,  102],
       [  31,   50,   31,   14,   43,   10,   71,  107,   28, 1527]]))"
6,"(0.7014192139737991, array([[1411,   68,   38,   27,   42,   16,   67,  152,   35,   64],
       [  23, 1803,   31,   19,   38,   18,   44,   61,   28,   68],
       [  43,   82, 1331,   18,   74,   26,   76,   92,   53,   70],
       [ 129,  155,  141, 1076,  116,   41,  144,  253,  115,  214],
       [  34,   81,   38,   13, 1344,   10,   63,   86,   33,   97],
       [  98,  154,   88,   21,   76,  944,  228,  168,   80,  221],
       [  48,   55,   25,   10,   44,   11, 1508,   63,   26,   66],
       [  35,   72,   55,   23,   57,   22,   51, 1974,   42,   81],
       [  42,   84,   65,   27,   67,   20,   70,  111, 1214,   93],
       [  35,   53,   39,   16,   36,    7,   68,   85,   43, 1530]]))"
7,"(0.6870782056371576, array([[1473,   51,   49,   14,   41,   11,   64,  133,   39,   45],
       [  31, 1804,   33,   25,   36,   12,   55,   57,   32,   48],
       [  47,   72, 1348,   15,   72,   13,   55,  143,   40,   60],
       [ 172,  161,  162, 1054,  114,   26,  127,  305,   94,  169],
       [  38,   76,   42,   14, 1297,    8,   81,  137,   38,   68],
       [ 127,  191,  120,   45,  117,  813,  241,  212,   86,  126],
       [  45,   47,   30,   10,   47,    9, 1509,   81,   35,   43],
       [  45,   91,   69,   23,   63,   20,   54, 1935,   46,   66],
       [  42,   85,   79,   22,   74,   15,   61,  109, 1254,   52],
       [  30,   76,   55,   17,   71,   11,   62,  152,   79, 1359]]))"
8,"(0.6728364430329495, array([[1453,   71,   22,   28,   39,   10,   78,  128,   38,   53],
       [  26, 1801,   25,   21,   47,   13,   38,   88,   27,   47],
       [  76,   99, 1241,   12,   50,   18,   73,  173,   46,   77],
       [ 144,  190,  117, 1070,   84,   32,   97,  403,   91,  156],
       [  48,   74,   42,   14, 1245,    7,   77,  193,   29,   70],
       [ 132,  146,   63,   48,  103,  812,  196,  362,   89,  127],
       [  39,   41,   21,   12,   37,   14, 1463,  148,   37,   44],
       [  48,   78,   64,   33,   55,   18,   47, 1967,   37,   65],
       [  52,   94,   58,   19,   70,   18,   55,  221, 1146,   60],
       [  34,   88,   37,   14,   59,   16,   62,  185,   56, 1361]]))"
9,"(0.6696109567288606, array([[1478,   35,   21,   21,   44,    9,   55,  135,   65,   57],
       [  43, 1701,   32,   17,   52,   13,   31,  142,   41,   61],
       [ 107,   61, 1255,    8,   58,   16,   60,  160,   63,   77],
       [ 196,  177,  125,  931,  110,   26,  124,  367,  116,  212],
       [  38,   55,   40,   17, 1320,    8,   57,  125,   46,   93],
       [ 148,  154,   62,   39,   95,  739,  177,  355,   96,  213],
       [  53,   43,   27,    7,   44,   11, 1367,  183,   62,   59],
       [  62,   67,   58,   17,   67,   13,   41, 1943,   48,   96],
       [  53,   54,   44,   14,   55,   10,   41,  176, 1274,   72],
       [  29,   56,   33,   13,   58,   10,   54,  103,   70, 1486]]))"
